id,q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20
S161,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S162,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
S163,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1
S164,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1
S165,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1
S166,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1
S167,0,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0
S168,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1
S169,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1
S170,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1
S171,0,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1
S172,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1
S173,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0
S174,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0
S175,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1
S176,0,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1
S177,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0
S178,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1
S179,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0
S180,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1
S181,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1
S182,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1
S183,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1
S184,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1
